CountyFull,State,County,1953,1954,1956,1965,1968,1971,1973,1974,1975,1978,1980,1984,1988,1989,1992,1993,1994,1995,1997,2000,2017,2019,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Dyer  TN,TN,Dyer ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-85.2906036,37.5265999,-89.4138031,-89.4138031,"Dyer, TN",Dyer
Early  GA,GA,Early ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-84.9036026,-84.9036026,"Early, GA",Early
Eaton  MI,MI,Eaton ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Eaton, MI",Eaton
Echols  GA,GA,Echols ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.8444977,32.7569008,-82.893898,-82.893898,"Echols, GA",Echols
Elliott  KY,KY,Elliott ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-83.0976028,-83.0976028,"Elliott, KY",Elliott
Escambia  AL,AL,Escambia ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-87.1615982,-87.1615982,"Escambia, AL",Escambia
Etowah  AL,AL,Etowah ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-86.0347977,-86.0347977,"Etowah, AL",Etowah
Fairfield  SC,SC,Fairfield ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-86.343399,35.8429985,-81.1212006,-81.1212006,"Fairfield, SC",Fairfield
Fannin  GA,GA,Fannin ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-84.3199005,-84.3199005,"Fannin, GA",Fannin
Fayette  AL,AL,Fayette ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-87.7388992,-87.7388992,"Fayette, AL",Fayette
Fayette  GA,GA,Fayette ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-84.4942017,-84.4942017,"Fayette, GA",Fayette
Fentress  TN,TN,Fentress ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-84.9325027,-84.9325027,"Fentress, TN",Fentress
Floyd  GA,GA,Floyd ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-85.2143021,-85.2143021,"Floyd, GA",Floyd
Floyd  KY,KY,Floyd ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-82.745697,-82.745697,"Floyd, KY",Floyd
Forsyth  GA,GA,Forsyth ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.8444977,32.7569008,-84.125,-84.125,"Forsyth, GA",Forsyth
Forsyth  NC,NC,Forsyth ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-80.2563019,-80.2563019,"Forsyth, NC",Forsyth
Franklin  AL,AL,Franklin ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-87.8438034,-87.8438034,"Franklin, AL",Franklin
Franklin  FL,FL,Franklin ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,-84.800499,-84.800499,"Franklin, FL",Franklin
Franklin  KY,KY,Franklin ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.6533966,32.7128983,-84.8770981,-84.8770981,"Franklin, KY",Franklin
Franklin  NC,NC,Franklin ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-78.2856979,-78.2856979,"Franklin, NC",Franklin
Franklin  TN,TN,Franklin ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-86.0922012,-86.0922012,"Franklin, TN",Franklin
